OPP,MP-O,FG-O,FGA-O,FG%-O,3P-O,3PA-O,3P%-O,2P-O,2PA-O,2P%-O,FT-O,FTA-O,FT%-O,ORB-O,DRB-O,TRB-O,AST-O,STL-O,BLK-O,TOV-O,PF-O,PTS-O,MP-D,FG-D,FGA-D,FG%-D,3P-D,3PA-D,3P%-D,2P-D,2PA-D,2P%-D,FT-D,FTA-D,FT%-D,ORB-D,DRB-D,TRB-D,AST-D,STL-D,BLK-D,TOV-D,PF-D,PTS-D,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,OeFG%,OTOV%,ORB%,OFT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA
BOS,241.8,43.8,90.1,0.486,16.7,42.7,0.391,27.1,47.4,0.571,16.9,20.9,0.809,10.7,35.8,46.5,26.7,6.6,6.5,12,16.5,121.2,241.8,41.5,91.6,0.453,12.7,36.6,0.348,28.7,55,0.522,13.7,17.9,0.769,10.9,32.3,43.2,24.8,6.2,3.7,11.9,17.9,109.4,57,14,57,14,11.73,-0.4,11.33,123.4,111.5,97.4,0.232,0.474,0.578,10.8,24.9,0.188,0.522,10.7,76.6,0.15
MIL,241.1,43.5,88.5,0.491,14.5,38.1,0.379,29,50.4,0.576,19.2,24.8,0.776,9.2,34.6,43.8,26.5,6.8,5,12.6,19.4,120.6,241.1,43.6,92.2,0.473,12.7,35.2,0.361,30.9,57.1,0.542,17.2,21.5,0.803,10.4,33.6,43.9,26.7,6.8,4.2,12,19.7,117.2,45,25,42,28,3.39,-0.45,2.94,119.7,116.3,100.3,0.28,0.431,0.573,11.3,21.5,0.217,0.542,10.6,76.9,0.187
CLE,241.8,41.8,87.5,0.478,13.6,37.3,0.364,28.2,50.2,0.562,15.9,20.7,0.766,10.1,34.1,44.1,27.7,7.3,4.8,13.4,18,113.1,241.8,40.2,87.9,0.457,12.1,33.6,0.361,28.1,54.3,0.517,16.8,21.5,0.783,10.2,32.6,42.8,24.5,7.6,5.1,13.4,19,109.3,43,27,43,27,3.71,-0.19,3.52,115.5,111.7,97.2,0.237,0.426,0.555,12.2,23.6,0.181,0.526,12.1,77,0.191
NYK,240,40.8,88.6,0.461,13,35.9,0.362,27.8,52.7,0.528,17.1,21.9,0.783,12.8,32.9,45.7,23.9,7.3,4.1,13.3,17.7,111.8,240,40.1,85.8,0.468,12.6,34.3,0.366,27.6,51.4,0.536,14.9,19.7,0.759,10.1,30.5,40.6,25.5,6.8,5.3,13,19.1,107.8,42,28,44,26,4.01,-0.11,3.9,117.2,112.9,95.4,0.247,0.405,0.534,12,29.5,0.194,0.541,12.1,76.5,0.174
ORL,241.4,40.6,84.9,0.478,11,31.1,0.353,29.6,53.8,0.551,18.6,24.7,0.754,10.7,31.9,42.6,24.7,8.1,5.2,14.9,20.2,110.8,241.4,39.9,84.2,0.474,11.5,32.3,0.356,28.4,51.9,0.548,17.4,22.5,0.773,8.9,30.8,39.7,23.9,8.1,4.6,15,21,108.8,42,29,40,31,2.08,-0.53,1.55,113.5,111.4,97.1,0.29,0.367,0.543,13.4,25.8,0.219,0.543,13.7,78.2,0.207
IND,240.4,46.7,92.5,0.505,13.1,35.3,0.372,33.5,57.2,0.587,16.3,20.9,0.779,10,31.5,41.5,30.6,7.8,5.9,13.1,21.3,122.8,240.4,44.7,89.9,0.497,10.9,29.5,0.369,33.8,60.3,0.56,20.3,25.8,0.784,11,32.6,43.5,24.7,6.8,5.5,14.2,18.5,120.5,40,31,40,31,2.27,-0.25,2.02,120.2,118,102,0.226,0.382,0.576,11.4,23.6,0.176,0.558,12.3,74.1,0.226
MIA,240.4,39.5,85.6,0.462,12.2,33.2,0.368,27.3,52.4,0.521,18.1,22.2,0.813,9.4,32.7,42.1,25.5,7.4,3.4,12.6,17.5,109.4,240.4,40.4,85.9,0.47,13.3,36.8,0.362,27,49.1,0.551,15.1,19.5,0.775,9.3,33.8,43.1,26.6,6.6,4.9,13.7,18.9,109.2,38,32,35,35,0.19,-0.48,-0.3,113.4,113.2,96.3,0.26,0.388,0.533,11.7,21.8,0.211,0.548,12.6,77.8,0.176
PHI,240.7,41.3,89.4,0.463,11.6,32.6,0.355,29.8,56.8,0.524,20.1,24.4,0.825,11,31.6,42.6,24.6,8.6,5.8,11.8,20.6,114.4,240.7,40.7,86.3,0.471,11.9,33.6,0.355,28.7,52.7,0.546,18.9,23.9,0.79,11.1,33.6,44.7,26.1,6.1,6.2,14.7,19,112.2,38,32,40,30,2.16,-0.45,1.71,116.6,114.4,97.7,0.273,0.365,0.527,10.6,24.7,0.225,0.541,13.2,73.9,0.219
CHI,243.9,41.8,89.5,0.467,11.6,32.5,0.358,30.2,57,0.529,16.8,21.2,0.795,11,32.4,43.4,25,7.6,4.8,12.2,18.9,112.1,243.9,41.2,87.1,0.472,14.5,39.6,0.367,26.6,47.5,0.561,17,21.8,0.78,10.2,33.5,43.7,27.9,6.7,5.1,14,18.9,113.9,34,37,32,39,-1.77,-0.2,-1.98,114.6,116.5,96.2,0.237,0.363,0.532,11,24.8,0.188,0.556,12.6,76.1,0.196
ATL,241.4,43.1,92.8,0.464,13.7,37.6,0.363,29.5,55.2,0.533,19.3,23.9,0.805,12.8,31.9,44.7,26.5,7.6,4.6,13.2,18.4,119.2,241.4,44.6,90.4,0.494,14,36.5,0.384,30.6,53.9,0.568,17.4,22.1,0.79,11,33.5,44.5,28.3,7.6,5.7,14.2,19.7,120.7,31,39,32,38,-1.56,-0.4,-1.95,118.1,119.6,100.3,0.258,0.405,0.538,11.3,27.6,0.208,0.572,12.4,74.4,0.193
